code,name,permission_codes
SYSTEM_SETTINGS,Cài đặt hệ thống,"ACCESS_SETTING"
USER_MANAGEMENT,Quản lý thành viên,"VIEW_USER,CREATE_USER,UPDATE_USER,DELETE_USER"
MEMBER_MANAGEMENT,Quản lý bạn đọc,"VIEW_MEMBER,CREATE_MEMBER,UPDATE_MEMBER,DELETE_MEMBER"
ROLE_MANAGEMENT,Quản lý vai trò,"VIEW_ROLE,CREATE_ROLE,UPDATE_ROLE,DELETE_ROLE"
PERMISSION_MANAGEMENT,Quản lý quyền hạn,"VIEW_PERMISSION,CREATE_PERMISSION,UPDATE_PERMISSION,DELETE_PERMISSION,ASSIGN_ROLE_TO_USER"
BRANCH_MANAGEMENT,Quản lý trường,"VIEW_BRANCH,CREATE_BRANCH,UPDATE_BRANCH,DELETE_BRANCH,ASSIGN_BRANCH"
PUBLICATION_MANAGEMENT,Quản lý ấn phẩm,"VIEW_PUBLICATION,CREATE_PUBLICATION,UPDATE_PUBLICATION,DELETE_PUBLICATION"
BORROW_MANAGEMENT,Quản lý mượn trả,"BORROW_PUBLICATION,RETURN_PUBLICATION,EXTEND_BORROWING_PERIOD,CREATE_BORROW_SLIP,UPDATE_BORROW_SLIP,VIEW_BORROW_SLIP,DELETE_BORROW_SLIP"
PUBLISHER_MANAGEMENT,Quản lý nhà xuất bản,"VIEW_PUBLISHER,CREATE_PUBLISHER,UPDATE_PUBLISHER,DELETE_PUBLISHER"
LANGUAGE_MANAGEMENT,Quản lý ngôn ngữ,"VIEW_LANGUAGE,CREATE_LANGUAGE,UPDATE_LANGUAGE,DELETE_LANGUAGE"
AUTHOR_MANAGEMENT,Quản lý tác giả,"VIEW_AUTHOR,CREATE_AUTHOR,UPDATE_AUTHOR,DELETE_AUTHOR"
GENRE_MANAGEMENT,Quản lý thể loại,"VIEW_GENRE,CREATE_GENRE,UPDATE_GENRE,DELETE_GENRE"
CATEGORY_MANAGEMENT,Quản lý lĩnh vực ấn phẩm,"VIEW_CATEGORY,CREATE_CATEGORY,UPDATE_CATEGORY,DELETE_CATEGORY"
INVENTORY_MANAGEMENT,Quản lý kho,"VIEW_INVENTORY,CREATE_INVENTORY,UPDATE_INVENTORY,DELETE_INVENTORY,IMPORT_INVENTORY,EXPORT_INVENTORY"
CLASS_AND_SCHOOL_YEAR_MANAGEMENT,Quản lý lớp học và niên khóa,"VIEW_CLASS_AND_SCHOOL_YEAR,CREATE_CLASS_AND_SCHOOL_YEAR,UPDATE_CLASS_AND_SCHOOL_YEAR,DELETE_CLASS_AND_SCHOOL_YEAR"
